,化学,历史,地理,姓名,学号,性别,数学,物理,班级,生物,英语,语文,手机
124,93,91,81,庞黻花,100124,0,77,64,60,76,91,68,13985677078
125,97,79,78,雷个实,100125,1,57,83,61,65,85,81,13983025511
126,97,91,89,曾多莹,100126,1,53,82,62,78,68,66,13193302102
127,91,85,85,岳同沫,100127,1,48,47,63,92,85,83,13544919404
128,55,80,76,赫机用,100128,1,75,79,64,69,90,92,14044207763
129,71,95,90,刘军生,100129,1,76,55,65,65,65,67,13949109068
130,89,75,90,苏月不,100130,0,69,45,1,76,85,83,13930246535
131,60,88,92,贺通间,100131,0,60,53,2,82,70,87,13145913248
132,100,94,81,薛行于,100132,0,91,81,3,70,86,72,14011125553
133,72,82,75,贺理建,100133,0,78,74,4,74,64,81,13714475518
134,77,90,97,严用雪,100134,1,100,50,5,72,90,67,13433847317
135,97,77,91,常地为,100135,1,63,82,6,79,98,67,13353503585
136,92,85,100,邵关平,100136,0,78,72,7,74,60,81,13470428476
137,85,85,99,赵义了,100137,0,51,63,8,93,66,67,13567845270
138,89,85,86,罗运军,100138,0,97,73,9,70,73,88,13411288081
139,88,95,92,唐合国,100139,0,77,85,10,98,90,67,13397335176
140,78,82,87,谢悦心,100140,0,71,73,11,73,78,75,13249418191
141,70,87,82,申形梦,100141,0,90,59,12,70,95,91,13877051014
142,71,91,81,陶彤好,100142,0,75,70,13,78,76,85,13612596496
143,73,79,75,俞意晗,100143,0,51,86,14,91,65,85,13424817330
144,76,87,98,谢定同,100144,0,69,80,15,76,64,85,13473148987
145,61,95,98,曹所月,100145,1,66,85,16,67,92,83,13450361712
146,85,88,81,施月玉,100146,0,74,94,17,72,96,86,13099604184
147,68,94,93,江治多,100147,0,72,52,18,78,80,79,14036285999
148,99,88,89,傅革茜,100148,1,57,77,19,90,59,94,14047085935
149,70,83,98,袁地样,100149,0,58,74,20,78,67,72,13191458332
150,79,93,99,丁军法,100150,1,61,88,21,87,96,69,13986951898
151,71,94,95,洪茜多,100151,1,92,96,22,98,96,65,13127615786
152,86,91,81,傅依意,100152,0,68,95,23,74,74,88,13434901648
153,75,85,96,向蕊长,100153,1,78,53,24,68,82,73,13891224999
154,85,80,78,方义间,100154,0,91,71,25,82,75,84,13655458539
155,97,81,82,侯倩可,100155,1,64,76,26,82,62,68,13769927155
156,86,95,79,王新员,100156,1,80,67,27,97,66,71,13786109985
157,81,95,97,陶新样,100157,1,83,51,28,87,94,91,13492635001
158,89,82,88,徐明点,100158,1,47,52,29,100,92,79,13058262361
159,58,82,83,方晴瑶,100159,0,97,95,30,69,63,81,14083914237
160,98,84,95,岳学艺,100160,1,70,92,31,65,83,81,13847468115
161,93,89,90,熊机和,100161,0,73,97,32,97,61,81,13655598155
162,98,86,70,段沫玉,100162,0,65,68,33,91,61,83,13578733233
163,99,84,93,周灵梦,100163,0,59,98,34,97,79,90,13857462462
164,89,82,71,胡文心,100164,0,54,59,35,98,94,67,13576547349
165,70,90,78,聂心明,100165,1,50,75,36,79,62,74,13682892559
166,57,93,81,葛灵个,100166,0,89,98,37,73,79,73,13766186927
167,96,85,79,田政好,100167,0,71,76,38,97,73,82,13282409445
168,84,94,82,崔彤部,100168,1,65,96,39,79,66,76,13584276084
169,56,84,85,俞用分,100169,1,83,57,40,84,74,66,13346435828
170,65,91,96,易地意,100170,1,63,59,41,75,89,82,13194138399
171,85,81,74,高晴机,100171,1,98,97,42,89,98,68,13987627422
172,85,80,89,阳正多,100172,1,55,47,43,75,72,69,13820946818
173,76,75,87,周政员,100173,0,74,70,44,69,94,93,13861155043
174,66,87,92,张上治,100174,0,65,55,45,100,72,66,13280033978
175,85,86,72,马政黻,100175,1,48,95,46,92,74,67,13874702536
176,58,85,70,谢志一,100176,0,85,54,47,100,80,92,13451654696
177,77,89,80,熊希珍,100177,0,53,58,48,97,60,90,14077305434
178,90,78,82,侯年月,100178,0,63,65,49,99,74,75,13275268453
179,81,88,99,傅政为,100179,0,57,75,50,76,69,76,13116736856
180,59,83,87,陆悦时,100180,0,50,92,51,82,76,93,13477088493
181,55,88,70,袁莹然,100181,1,89,90,52,76,78,89,13778917414
182,67,78,90,刘作有,100182,1,79,51,53,68,91,67,13898742096
183,100,79,87,常并国,100183,0,98,60,54,89,98,73,13370483291
184,56,88,86,邢沫治,100184,1,46,77,55,72,64,67,13325722291
185,79,94,99,陈生时,100185,0,100,83,56,79,94,80,13484463908
186,79,79,88,赵比点,100186,0,98,85,57,73,59,79,14087682902
187,81,87,74,区倩样,100187,0,65,47,58,84,76,85,13825106286
188,81,92,97,毛美个,100188,0,54,76,59,97,82,78,13241244307
189,91,95,87,雷成年,100189,1,70,67,60,93,82,80,13053846650
190,94,94,75,顾得在,100190,1,56,57,61,76,94,93,13133772400
191,100,94,100,杜工茜,100191,0,59,79,62,65,68,75,13136812557
192,77,93,78,尹社同,100192,0,63,96,63,94,83,76,13110605220
193,66,84,71,白希立,100193,0,48,65,64,87,97,77,13862865492
194,55,81,98,曹全相,100194,1,48,49,65,95,83,94,13843739080
195,84,78,87,吴实运,100195,1,81,73,1,68,85,94,13095239392
196,92,92,82,史年并,100196,0,75,57,2,95,98,90,13734667999
197,81,77,76,魏理象,100197,0,61,72,3,76,90,95,13623473417
198,94,85,89,张涵中,100198,1,45,85,4,84,83,95,13213679387
199,70,81,77,庄变发,100199,0,76,62,5,84,59,93,13082067367
200,56,82,98,赵重小,100200,0,82,59,6,76,83,78,13529066512
201,86,92,71,魏玉丽,100201,0,78,85,7,92,85,81,13113413392
202,80,90,97,叶关于,100202,0,77,60,8,71,73,82,13065411553
203,80,82,79,潘气黻,100203,0,100,61,9,76,90,77,13413617325
204,83,92,93,苏时行,100204,0,92,67,10,97,97,86,13899925727
205,74,89,72,区玉全,100205,0,65,83,11,74,85,70,13263927261
206,66,93,78,崔上根,100206,0,56,99,12,87,69,65,14058124881
207,82,81,96,钟瑶式,100207,1,92,47,13,82,83,80,13642082629
208,66,88,73,袁梦彤,100208,0,79,94,14,67,73,90,13933797595
209,96,87,97,翟理小,100209,1,59,89,15,66,70,88,13674926623
210,91,76,71,汪年不,100210,0,56,71,16,66,64,65,13140337994
211,71,81,98,邵悦瑶,100211,0,63,69,17,70,89,92,13230706956
212,100,82,84,杜地不,100212,1,92,85,18,96,72,87,13271188403
213,78,89,98,沈方形,100213,0,77,99,19,73,87,81,13982696125
214,79,93,77,陶质一,100214,1,99,52,20,93,94,91,13327732588
215,78,87,86,牛发然,100215,1,98,83,21,66,95,81,13923501825
216,100,84,70,魏本发,100216,0,71,63,22,82,79,67,13290046655
217,100,77,99,洪大员,100217,0,68,81,23,88,86,76,13887583182
218,98,89,87,赵作进,100218,1,100,63,24,84,64,82,13156209912
219,95,77,83,申发来,100219,1,63,62,25,69,94,93,13745869724
220,62,77,71,金用瑶,100220,0,95,75,26,84,84,70,14090668282
221,58,93,88,吴能晗,100221,1,93,70,27,86,84,65,13192942399
222,76,91,73,赫梦利,100222,1,90,99,28,80,72,86,13448591756
223,77,89,86,马业年,100223,1,79,81,29,71,66,71,13426226417
224,80,75,87,孟艺行,100224,1,56,53,30,88,83,83,13189137544
225,66,86,94,孙道丽,100225,0,60,51,31,89,70,75,14052197051
226,70,79,100,姜莹公,100226,0,98,56,32,96,88,93,14038343848
227,66,93,99,田新成,100227,1,68,57,33,72,79,87,13756112427
228,97,77,73,蒋个莹,100228,0,72,52,34,90,61,81,13574383179
229,73,79,90,袁然比,100229,1,93,62,35,93,96,91,13469262273
230,89,84,99,韩那点,100230,1,53,86,36,90,76,72,14071853150
231,97,90,83,龙想方,100231,0,91,97,37,84,92,71,13084053553
232,89,89,73,孔上然,100232,1,96,48,38,66,79,69,13720835781
233,56,94,81,乔重并,100233,0,86,99,39,81,98,74,13824008776
234,68,92,85,陶时意,100234,0,57,46,40,80,64,78,13510197892
235,94,94,86,牛北形,100235,0,84,93,41,98,87,77,13193659827
236,80,79,89,白通志,100236,1,97,94,42,99,84,94,13946438553
237,77,90,80,崔分来,100237,1,90,85,43,72,63,90,14072435999
238,79,77,95,贾中治,100238,1,81,61,44,83,95,71,14011173912
239,94,85,99,熊琳军,100239,1,53,74,45,69,88,71,13354052326
240,74,88,91,赫进间,100240,0,80,86,46,97,61,94,13314395747
241,77,88,93,潘生是,100241,0,98,81,47,82,86,87,13759494199
242,76,94,85,马通革,100242,1,88,73,48,96,76,79,13910833879
243,97,85,94,聂梦建,100243,1,79,80,49,91,91,83,13274252846
244,92,85,71,吕希正,100244,1,70,69,50,84,85,65,13434914605
245,62,90,80,庞革各,100245,1,72,73,51,88,74,66,13823699063
246,70,85,97,周社莹,100246,1,75,82,52,88,83,68,13111383571
247,57,85,93,姜心和,100247,0,82,63,53,80,66,72,13724138332
248,86,79,76,郑月不,100248,1,67,86,54,92,64,80,13292374180
249,75,80,97,陈意北,100249,0,63,93,55,74,62,72,13266997013
250,68,87,70,段政方,100250,0,96,69,56,66,81,80,14040981907
251,97,94,93,雷起用,100251,0,80,59,57,94,62,88,13683592006
252,64,83,78,尹法悦,100252,0,86,61,58,84,94,92,13142936958
253,68,91,85,董在多,100253,0,79,77,59,85,61,73,13258091040
254,95,89,97,宋茜涵,100254,0,95,95,60,100,71,78,13250956428
255,58,85,86,孔民起,100255,0,64,60,61,90,90,92,13769427022
256,70,77,95,朱来民,100256,0,96,46,62,92,80,71,13397101373
257,97,87,74,钱文和,100257,1,73,49,63,94,89,66,13811572806
258,98,79,75,杜起法,100258,1,97,90,64,81,95,74,13524282428
259,69,92,84,牛和梦,100259,1,92,74,65,83,79,94,13339366272
260,66,89,99,孙不起,100260,1,61,94,1,77,59,77,13721642458
261,98,76,98,林治月,100261,1,48,92,2,84,87,90,13462321103
262,84,95,74,袁重分,100262,1,91,47,3,70,75,92,13654257512
263,71,81,96,邱艺涵,100263,0,99,58,4,85,84,92,13117928670
264,58,90,95,潘花时,100264,0,55,54,5,96,74,79,13093252670
265,97,93,85,刘茜晴,100265,0,80,97,6,100,71,86,13994383608
266,66,92,72,秦莹进,100266,1,66,79,7,67,79,83,13477463695
267,73,82,98,韦然定,100267,0,60,100,8,98,88,85,13112191758
268,84,85,78,贾部晗,100268,1,79,99,9,85,84,95,13575688329
269,90,86,90,章来茜,100269,1,57,78,10,77,95,88,13313339551
270,99,79,87,叶样大,100270,1,86,97,11,95,84,88,13030231269
271,72,80,89,梁瑶作,100271,1,57,77,12,82,88,85,13775058078
272,89,77,99,田道得,100272,1,74,45,13,67,86,65,13194875686
273,92,90,70,龙军作,100273,0,73,76,14,100,86,79,13514589637
274,91,93,77,熊生正,100274,0,94,90,15,100,68,93,13584607060
275,76,86,79,贺文治,100275,1,74,84,16,70,69,75,13368199932
276,99,85,86,姜北变,100276,1,85,65,17,91,84,94,13813989307
277,69,88,71,赵果时,100277,0,54,51,18,99,69,82,13788048254
278,86,80,93,熊通各,100278,0,85,100,19,81,76,65,13533106365
279,77,78,90,蒋了多,100279,0,58,69,20,80,59,86,13324569641
280,72,90,83,梁变不,100280,0,57,91,21,74,60,90,14095435910
281,66,94,84,谢义乐,100281,0,85,74,22,92,81,67,13067046370
282,73,77,100,唐梅部,100282,0,97,95,23,76,68,71,13840684036
283,64,78,84,樊雪不,100283,1,71,95,24,97,62,76,13658683631
284,78,88,93,唐子得,100284,1,71,89,25,97,62,91,13743073507
285,86,83,89,汪珍行,100285,0,60,57,26,99,59,92,13124427335
286,64,86,97,宋小各,100286,1,52,88,27,82,85,65,13219251565
287,86,83,78,苏莹成,100287,1,55,80,28,69,73,85,13622406673
288,70,81,75,颜能起,100288,0,74,55,29,68,63,69,13225739712
289,68,85,75,郑理学,100289,1,46,78,30,70,77,94,13466679101
290,72,83,85,钱月质,100290,0,48,58,31,89,76,84,13051016183
291,100,76,95,周通倩,100291,0,68,73,32,71,90,72,13651279187
292,58,92,90,傅灵样,100292,0,50,64,33,87,86,79,13212083528
293,88,94,73,袁地个,100293,1,98,85,34,81,68,78,13011958972
294,100,89,86,曹生成,100294,1,79,99,35,72,97,89,13470675625
295,99,78,90,贺质定,100295,1,68,64,36,92,74,74,14063964319
296,95,79,79,陆形动,100296,0,57,88,37,80,80,65,13034684041
297,88,81,93,陆莹方,100297,1,77,49,38,72,61,92,13946778461
298,64,75,83,牛成莹,100298,0,73,51,39,99,93,73,13125878223
299,94,87,96,牛同了,100299,1,51,93,40,68,86,84,13324844383
300,81,95,92,陶变花,100300,1,51,49,41,72,98,93,13989419753
301,78,79,85,白小琳,100301,0,74,72,42,66,68,74,13277243713
302,98,81,71,金象作,100302,1,56,90,43,67,59,74,13421796774
303,75,84,93,侯运那,100303,1,93,88,44,90,62,90,13916567642
304,84,83,87,韦建行,100304,0,86,67,45,90,85,75,13297183467
305,84,76,100,薛式起,100305,1,51,54,46,82,65,75,13625064471
306,70,85,84,方月时,100306,0,50,75,47,80,75,92,13126783798
307,65,76,83,彭琳是,100307,0,69,56,48,83,59,82,13085068572
308,79,82,70,吕不丽,100308,0,86,50,49,81,86,83,13252173153
309,60,79,93,潘国全,100309,0,95,55,50,81,87,67,13176881152
310,75,95,91,韦业意,100310,0,92,79,51,83,86,89,13834813130
311,73,80,78,洪想各,100311,1,71,56,52,73,66,87,13695244510
312,79,88,80,周及民,100312,1,84,45,53,78,81,80,13757309704
313,96,77,74,向灵有,100313,1,70,77,54,100,97,75,13658658640
314,95,93,71,易莹子,100314,1,47,98,55,68,61,89,13033064538
315,60,94,85,宋通于,100315,0,95,67,56,93,89,66,13242835513
316,80,75,95,汤那中,100316,1,85,84,57,92,77,87,14037032901
317,76,88,70,谭得关,100317,0,47,81,58,71,70,94,13527021837
318,91,81,70,萧公质,100318,0,50,83,59,73,83,92,13060168272
319,83,90,90,常梦间,100319,0,45,85,60,93,71,66,13110493698
320,83,82,92,苏象政,100320,1,47,96,61,78,86,77,13391097010
321,55,82,81,赫民义,100321,0,53,90,62,71,66,80,13130773140
322,74,87,93,易实全,100322,1,90,50,63,99,75,95,13331425752
323,68,80,98,姜心希,100323,1,52,96,64,88,71,82,13940086014
324,91,89,80,韩中样,100324,0,70,96,65,65,94,72,13826279146
325,93,83,74,常同社,100325,0,64,96,1,65,86,73,13586219149
326,91,76,73,谢彤比,100326,0,82,78,2,82,82,77,13470815610
327,59,92,100,庄年合,100327,0,66,75,3,100,69,66,13494419108
328,83,95,83,钟进珍,100328,1,78,82,4,81,72,85,13649979222
329,99,95,95,葛想涵,100329,1,50,78,5,76,68,73,13490493453
330,90,95,79,施平发,100330,0,95,45,6,73,72,70,13228909851
331,75,76,78,韩重利,100331,0,93,81,7,85,77,70,13317403119
332,55,87,72,彭来梦,100332,1,82,60,8,76,97,87,13112667914
333,56,91,89,赫乐比,100333,0,60,79,9,82,84,68,13051861652
334,87,80,96,吴变时,100334,1,53,74,10,99,97,91,13237903584
335,71,75,73,万革个,100335,1,79,68,11,91,95,83,13168171954
336,74,93,72,钱员分,100336,0,52,92,12,89,68,80,14087757328
337,57,76,76,俞生倩,100337,0,68,77,13,79,83,77,13583159810
338,71,92,96,黄正作,100338,1,68,82,14,86,71,73,13665863732
339,80,80,95,许子合,100339,1,60,69,15,77,73,91,13541301855
340,77,83,75,樊通表,100340,0,71,67,16,67,92,72,13568236620
341,79,84,86,葛机相,100341,0,68,93,17,73,65,70,13271126422
342,71,93,81,吕希合,100342,1,86,60,18,92,81,88,13614945518
343,59,94,73,贾平北,100343,0,71,69,19,100,60,77,13961387233
344,80,79,93,唐明治,100344,0,47,96,20,82,80,91,13859468423
345,81,84,75,袁革乐,100345,1,73,48,21,79,78,69,13831574909
346,80,83,71,孙乐果,100346,1,93,85,22,87,69,67,13953751421
347,95,78,80,赫变国,100347,0,77,87,23,69,75,67,13559395865
348,85,84,77,邢瑶工,100348,1,75,73,24,90,80,76,13490801059
349,75,76,83,丁生通,100349,0,61,95,25,97,98,85,13424057450
350,84,78,81,阳电根,100350,1,67,72,26,77,74,65,14047775034
351,56,84,99,吕好治,100351,0,86,77,27,92,69,71,14096003861
352,64,90,82,邵来质,100352,1,69,53,28,83,88,78,13127164154
353,80,92,98,牛晴部,100353,1,71,98,29,90,69,70,13686895033
354,100,89,84,阳成好,100354,0,69,86,30,97,86,80,13940211125
355,74,88,78,沈梅丽,100355,1,96,73,31,79,98,80,13428111946
356,90,90,99,孔年革,100356,0,78,100,32,95,93,85,13723845595
357,69,84,97,任式运,100357,1,82,67,33,71,70,74,13594172900
358,57,82,70,吴晴方,100358,1,67,67,34,77,89,66,13594609524
359,65,93,71,罗彤丽,100359,0,52,81,35,98,98,94,13930254347
360,92,83,91,郑用关,100360,1,72,58,36,97,85,94,13553807594
361,97,92,94,吕为点,100361,0,51,59,37,85,80,75,13382325744
362,82,95,84,袁美为,100362,1,48,48,38,68,73,74,13195053014
363,66,77,77,郑悦心,100363,1,82,87,39,86,63,93,13880003194
364,90,81,98,贺艺在,100364,1,88,71,40,99,70,91,13298928071
365,93,75,84,吕了晴,100365,1,71,97,41,69,92,72,13010803460
366,55,85,72,铁间定,100366,0,49,99,42,79,77,95,13310984658
367,66,91,83,韦式国,100367,1,100,57,43,77,86,76,13689562688
368,67,92,77,蓝一晴,100368,1,76,50,44,91,70,71,13592074569
369,58,85,71,俞比民,100369,0,71,60,45,78,69,83,13219935429
370,65,75,86,铁花瑶,100370,0,62,68,46,87,64,74,14023968678
371,84,83,93,彭工本,100371,1,82,83,47,81,64,70,13413067402
372,97,92,73,贾法能,100372,0,55,66,48,80,61,78,13231152322
373,59,91,82,梁进子,100373,0,52,55,49,74,67,89,13113575191
374,56,85,87,莫立好,100374,1,59,57,50,89,70,93,13346302229
375,71,79,98,周公象,100375,1,70,100,51,85,86,71,14057095694
376,63,95,84,庄能及,100376,0,51,97,52,89,88,82,13638412020
377,72,92,80,谭治能,100377,0,97,86,53,72,69,69,13038238400
378,94,89,75,史月工,100378,0,89,84,54,67,94,89,13586696491
379,69,94,87,徐为倩,100379,1,50,64,55,96,96,66,13425949431
380,75,93,98,黄全明,100380,0,65,57,56,81,67,66,14079119464
381,78,95,73,张志社,100381,0,97,89,57,69,70,69,13074565147
382,91,92,70,郭北瑶,100382,0,94,69,58,71,68,77,13995507819
383,78,81,71,许义通,100383,1,85,69,59,87,71,89,13058477275
384,87,86,91,熊比道,100384,1,92,68,60,88,93,83,13442969375
385,79,95,70,易是方,100385,0,67,70,61,99,66,95,13221527320
386,72,85,91,胡黻各,100386,1,100,94,62,67,78,84,13747761178
387,62,82,91,谭北沫,100387,0,83,73,63,66,62,80,13188921430
388,79,87,97,梁个珍,100388,0,49,96,64,74,63,77,14011898409
389,78,79,70,蓝大好,100389,0,92,91,65,66,81,90,13983921837
390,82,92,71,聂来来,100390,1,94,99,1,99,80,67,13691023994
391,66,76,94,薛想相,100391,1,84,64,2,81,89,85,13145069638
392,83,91,97,温来质,100392,1,94,53,3,96,87,82,13054831920
393,80,95,70,沈灵平,100393,0,66,54,4,93,84,77,13549568924
394,91,89,94,乔瑶同,100394,1,94,71,5,67,77,93,13999991119
